station_name,section,content,keywords,type
"","基本資訊","- 日文名稱：東京駅
- 站點編號：JR / 丸之內線 M-17
- 性質：東京最大的交通樞紐，全日本新幹線網最大、最完整的聚集站","undefined,基本資訊,info","info"
"","可搭乘路線","- **新幹線**：東海道新幹線、山陽新幹線、東北新幹線、山形新幹線、秋田新幹線、北海道新幹線、上越新幹線、北陸新幹線
- **JR線**：中央線、京濱東北線、山手線、東海道線（上野東京線、宇都宮線、高崎線、常磐線）、京葉線、武藏野線、橫須賀線、總武線（含成田EXPRESS）
- **地下鐵**：東京Metro丸之內線","undefined,可搭乘路線,tip","tip"
"","月台分布","- **地面上月台**：1-10號為JR月台，14-23號為新幹線月台
- **地面下月台**：京葉線、橫須賀線、總武線（含N'EX）","undefined,月台分布,tip","tip"
"","轉乘注意事項","- 車站分為「八重洲側」（東側）和「丸之內側」（西側）
- 「北自由通路」可自由穿越八重洲、丸之內兩側，不需出站
- **京葉線轉乘警告**：
  - 月台位於**地下五層**（深度27m），距離極遠。
  - 轉乘路線包含 **4 段電扶梯、2 段電動步道**，全程約 **15 分鐘**。
  - 沿途雖有明確指標，但若攜帶**大型行李**或推嬰兒車，強烈建議**預留充足時間**或考慮改搭**直達巴士**（例如前往迪士尼）。
- 橫須賀線、總武線（含N'EX）在丸之內中央口直下處","undefined,轉乘注意事項,warning","warning"
"","京葉線替代進站方式（推薦）","- 京葉線月台雖然名義上在東京車站，實際位置在車站南側，離**有樂町站更近**
- 從JR有樂町站下車，走「京橋口」或「國際フォーラム口」出站
- 往東京國際論壇方向走（可定位「Tokyo International Forum Side Square」）
- 此路線比從東京車站主體轉乘更短更省時","undefined,京葉線替代進站方式（推薦）,tip","tip"
"","出口指南","| 出口 | 位置 | 附近設施 |
|------|------|----------|
| 八重洲北口 | 地面上 | 大丸百貨、TOKYO TORCH、京成巴士 |
| 八重洲中央口 | 地面上 | 大丸百貨、JR高速巴士、日本橋高島屋 |
| 八重洲南口 | 地面上 | JR高速巴士、GRANSTA東京 |
| 八重洲地下中央口 | 地面下 | 東京車站一番街、東京拉麵街 |
| 丸之內北口 | 地面上 | 新丸之內大廈、皇居、丸之內仲通 |
| 丸之內中央口 | 地面上 | 皇居、東京車站大飯店、車站建築攝影點 |
| 丸之內南口 | 地面上 | 丸之內大廈、KITTE丸之內、丸之內紅磚廣場 |","undefined,出口指南,info","info"
"","前往迪士尼","- 搭乘京葉線至舞濱站，車程約15分鐘
- 從JR驗票口到京葉線月台需步行約14-20分鐘，務必預留時間","undefined,前往迪士尼,tip","tip"
"","前往成田機場","- 搭乘N'EX成田特快，不到1小時可抵達
- 月台位置：丸之內中央口地下3、4號月台
- 也可搭乘京成巴士「TYO-NRT」，1,300日圓直達","undefined,前往成田機場,tip","tip"
"","基本資訊","- 日文名稱：新橋駅
- 性質：上班族聖地（薪水族之街），前往台場的重要轉乘點。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、京濱東北線、東海道線、橫須賀線
- **地下鐵**：東京Metro銀座線、都營淺草線
- **新交通**：百合海鷗號 (Yurikamome) - 往台場方向","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **往台場（百合海鷗號）**：
  - 出站後請找「烏森口」或「汐留口」方向，百合海鷗號車站為獨立建築，需出站步行約 3-5 分鐘。
  - 沿途有明顯的「ゆりかもめ」藍色標示。
- **銀座線轉乘**：
  - 銀座線新橋站位置較淺，轉乘 JR 相當快速，約 3 分鐘。
- **橫須賀線**：
  - 月台位於地下深處，轉乘 JR 山手線需預留 5-8 分鐘。","undefined,轉乘注意事項,warning","warning"
"","出口指南","- **日比谷口**：著名的「SL廣場」所在地，常有電視採訪，也是主要的相約地點。
- **烏森口**：往西口商店街、百合海鷗號轉乘。
- **銀座口**：往銀座 8 丁目方向。","undefined,出口指南,info","info"
"","基本資訊","- 日文名稱：浜松町駅
- 性質：前往羽田機場的門戶（單軌電車轉乘站），鄰近東京鐵塔。","undefined,基本資訊,info","info"
"","可搭乘路線","- **JR線**：山手線、京濱東北線
- **單軌電車**：東京單軌電車 (Tokyo Monorail) - 往羽田機場
- **地下鐵（大門站）**：都營大江戶線、都營淺草線（需出站步行約 2-4 分鐘）","undefined,可搭乘路線,tip","tip"
"","轉乘注意事項","- **往羽田機場（單軌電車）**：
  - **重要**：JR 濱松町站與單軌電車站有**專用轉乘閘門**，不需出站即可直接轉乘。
  - 位於車站 3 樓，指標非常清晰。
- **前往東京鐵塔**：
  - 從「北口」出站，直走經過增上寺，步行約 15 分鐘。
- **轉乘地下鐵（大門站）**：
  - 濱松町站與大門站名義上不同站，但實際距離極近。
  - 從 JR 北口出站，前方十字路口即為大門站入口。","undefined,轉乘注意事項,warning","warning"
